;nro_importaciones;nro_usados;nro_nuevo;nro_otros;nro_destino_europa;nro_destino_asia;nro_destino_america;nro_destino_africa;nro_destino_oceania;total_pesoneto;importe_aduana;importe_iva;importe_salvaguardia;cluster.km
1.79125E+12;27;0;27;0;0;0;27;0;0;1348537;5744827;841584;36517;4
1.9015E+11;26;0;26;0;6;7;11;2;0;724635;1526046;189500;6859;7
9.90002E+11;26;0;26;0;5;9;12;0;0;717635;1313207;159626;0;13
9.90021E+11;26;2;24;0;1;3;22;0;0;492994;508513;65429;11811;12
9.90327E+11;26;0;26;0;6;4;16;0;0;15493607;7419207;898860;7365;9
9.92746E+11;26;0;26;0;0;0;26;0;0;23732;335337;42052;0;8
1.79001E+12;26;0;26;0;0;25;1;0;0;279166;1884697;242456;0;13
1.79005E+12;26;0;26;0;11;6;9;0;0;11028286;6517343;815963;0;4
1.79034E+12;26;0;26;0;0;1;25;0;0;1340340;1742878;278509;238532;4
1.7904E+12;26;0;26;0;4;7;15;0;0;81068;798363;97965;526;8
1.79186E+12;26;0;26;0;3;6;17;0;0;1621481;2136856;317407;12789;4
1.79197E+12;26;0;26;0;4;7;15;0;0;505173;1190739;147702;3186;8
9.90001E+11;25;0;25;0;10;1;14;0;0;293303;3313321;457811;0;8
9.90001E+11;25;0;25;0;4;6;15;0;0;537823;1103020;133255;0;8
9.90011E+11;25;0;25;0;9;6;10;0;0;109375;706640;91037;169;8
9.9034E+11;25;0;25;0;2;5;18;0;0;95604;1813751;279150;84784;4
9.90351E+11;25;0;25;0;4;0;21;0;0;211929;1145151;164145;31116;8
9.914E+11;25;0;24;1;0;13;12;0;0;142304;4971611;638117;0;13
1.79088E+12;25;0;25;0;10;8;7;0;0;362832;1048916;128943;0;8
1.7909E+12;25;0;25;0;0;22;3;0;0;133877;1021584;150372;0;13
1.79126E+12;25;1;24;0;2;5;18;0;0;792667;1983893;276103;28146;4
1.79237E+12;25;0;25;0;0;12;13;0;0;23842;360765;57802;24606;13
9.90001E+11;24;0;24;0;11;3;10;0;0;1242602;1352307;164430;0;8
9.90013E+11;24;0;24;0;5;7;12;0;0;983357;1696102;205210;0;8
9.90248E+11;24;0;24;0;1;23;0;0;0;166486;859440;115682;0;13
9.90843E+11;24;0;24;0;2;9;13;0;0;709781;1249222;156817;15154;13
9.91323E+11;24;0;24;0;2;0;22;0;0;1354744;1212303;177202;0;8
1.79001E+12;24;1;23;0;4;4;16;0;0;1437306;2816293;357223;6839;8
1.79003E+12;24;0;24;0;10;1;13;0;0;203452;1167588;155564;32;8
1.79122E+12;24;0;24;0;18;0;6;0;0;74604;1100157;135520;1519;1
1.79129E+12;24;0;24;0;0;0;24;0;0;1002805;3563561;609038;710253;5
1.79217E+12;24;0;24;0;3;17;4;0;0;7280;173112;23151;0;13
8.00203E+11;23;0;23;0;12;0;11;0;0;1923;422390;53022;0;8
9.90043E+11;23;0;23;0;0;4;19;0;0;221437;2834805;427142;55202;4
9.90141E+11;23;0;23;0;0;1;22;0;0;2378;505004;63643;0;8
9.90562E+11;23;0;23;0;2;4;17;0;0;1269950;4033421;492738;472;4
9.90568E+11;23;0;23;0;1;15;7;0;0;352893;1852174;238054;1189;13
9.91284E+11;23;0;23;0;9;0;14;0;0;69665;1105778;143424;0;8
9.91297E+11;23;0;23;0;4;3;16;0;0;132964;579120;72819;3615;8
9.92256E+11;23;0;23;0;6;13;4;0;0;749879;3576141;462817;91;13
9.92296E+11;23;0;23;0;2;0;21;0;0;1007733;1550464;228042;0;8
1.7901E+12;23;0;23;0;2;11;10;0;0;1854271;3338111;407238;0;13
1.79131E+12;23;0;23;0;2;0;21;0;0;116511;723262;104097;45532;8
1.79213E+12;23;0;23;0;0;0;23;0;0;6348;368657;46140;0;8
9.90551E+11;22;0;22;0;16;3;3;0;0;287608;683011;83808;884;1
9.90777E+11;22;0;22;0;7;1;14;0;0;4468;225361;27934;0;8
9.90813E+11;22;0;22;0;2;5;15;0;0;486622;1038887;125988;44;8
1.90064E+11;21;0;21;0;3;11;7;0;0;2158509;814286;118426;17199;13
1.901E+11;21;0;21;0;8;1;12;0;0;632917;1210263;146750;3334;8
9.90872E+11;21;0;21;0;3;2;16;0;0;40379;445826;61005;2566;8
9.91134E+11;21;0;21;0;5;13;3;0;0;405366;602112;73960;0;13
9.91512E+11;21;0;21;0;10;7;4;0;0;641804;551242;77640;0;8
1.79004E+12;21;0;21;0;3;4;14;0;0;346012;506344;63619;4320;8
1.79004E+12;21;0;21;0;4;1;16;0;0;3290004;3186044;456680;5414;8
1.79009E+12;21;1;20;0;9;7;5;0;0;228190;530559;66310;183;8
1.79036E+12;21;0;21;0;19;0;2;0;0;10533;389784;71833;0;1
1.79066E+12;21;0;21;0;10;2;9;0;0;581899;1186808;146958;7690;8
1.79177E+12;21;0;21;0;1;2;18;0;0;1423733;1571574;192650;437;8
1.7918E+12;21;0;21;0;0;5;16;0;0;3360421;1350414;192923;85260;8
1.79186E+12;21;0;0;21;0;0;21;0;0;3301;248969;30831;0;3
1.79237E+12;21;3;18;0;0;0;21;0;0;37282;337800;47375;3384;12
1.89006E+12;21;0;21;0;2;3;16;0;0;85889;762063;94813;7847;8
1.89172E+12;21;0;21;0;13;6;2;0;0;104438;1022004;129167;0;8
1.90311E+11;20;0;20;0;0;7;13;0;0;25814;500162;66392;0;13
9.90793E+11;20;0;20;0;1;19;0;0;0;214045;1094757;135845;0;13
9.90834E+11;20;0;20;0;1;8;11;0;0;762750;1199954;145262;1859;13
9.91244E+11;20;0;20;0;0;7;13;0;0;127090;4586540;578964;0;13
1.79E+12;20;0;20;0;4;0;16;0;0;47022;2890569;369355;40784;8
1.79001E+12;20;0;20;0;5;11;4;0;0;273084;469912;56840;0;13
1.79127E+12;20;0;20;0;8;1;11;0;0;436868;856750;112282;472;8
1.79174E+12;20;0;20;0;2;1;17;0;0;1214;294273;36011;0;8
1.79182E+12;20;0;20;0;5;5;10;0;0;272968;1180038;143627;3088;8
1.7919E+12;20;0;20;0;0;3;17;0;0;28508;1935584;257647;82969;8
1.79197E+12;20;0;20;0;8;7;5;0;0;12065;582006;72196;0;8
9.90041E+11;19;0;19;0;11;1;7;0;0;1006366;1849985;234501;0;8
9.90557E+11;19;0;19;0;6;1;12;0;0;60659;694151;86188;0;8
9.91208E+11;19;0;19;0;1;3;15;0;0;559287;1000442;120672;0;8
9.91449E+11;19;0;19;0;2;17;0;0;0;166335;1693792;210909;0;13
9.92125E+11;19;0;19;0;0;3;16;0;0;500006;782203;94324;0;8
9.9262E+11;19;0;5;14;0;1;18;0;0;656560;1461526;194482;22867;3
1.79004E+12;19;0;19;0;5;3;11;0;0;101055;443608;57525;0;8
1.79021E+12;19;0;19;0;0;0;19;0;0;123074;415289;68400;67292;8
1.79024E+12;19;0;19;0;7;1;11;0;0;45734;375833;50255;4860;8
1.79028E+12;19;0;19;0;0;10;9;0;0;1075542;9787424;1319893;8653;4
1.79056E+12;19;0;19;0;7;3;9;0;0;7536;382971;52020;3560;8
1.79126E+12;19;0;18;1;13;6;0;0;0;19436;2575089;329312;0;8
1.79174E+12;19;0;18;1;2;0;17;0;0;4964;457689;55311;0;8
1.79174E+12;19;0;19;0;0;5;14;0;0;140662;4784334;602021;0;8
1.7918E+12;19;0;19;0;0;1;18;0;0;35955;751700;114119;0;8
1.79186E+12;19;0;19;0;5;7;7;0;0;9973;243992;30371;187;8
1.89009E+12;19;0;19;0;0;15;4;0;0;125197;973054;130593;3299;13
9.90015E+11;18;0;18;0;9;0;7;0;2;5188;2012437;253895;0;7
9.90015E+11;18;0;18;0;1;1;16;0;0;57607;950814;124066;0;8
9.91344E+11;18;0;18;0;6;8;4;0;0;2638756;3048864;368187;0;13
1.79001E+12;18;0;18;0;10;2;6;0;0;1197686;1348772;166032;0;8
1.79002E+12;18;0;18;0;1;2;15;0;0;87474;986094;133013;36531;8
1.79003E+12;18;0;18;0;3;0;15;0;0;505600;701677;108847;73659;8
1.79019E+12;18;0;18;0;7;0;11;0;0;329859;1228455;180307;44862;8
1.79124E+12;18;0;18;0;0;8;10;0;0;764723;1058867;127733;0;13
1.79125E+12;18;0;18;0;0;7;11;0;0;637963;960264;121209;17355;13
1.79128E+12;18;0;18;0;0;2;16;0;0;399953;1236009;185505;126405;8
1.79141E+12;18;0;18;0;1;3;14;0;0;79346;1152794;147856;8774;8
1.79193E+12;18;0;18;0;2;12;4;0;0;1603035;1143202;180881;31824;13
1.79201E+12;18;0;18;0;0;0;18;0;0;35295;1024380;133668;0;8
1.79204E+12;18;0;18;0;14;0;4;0;0;185276;2516093;303996;0;8
4.01628E+11;17;0;17;0;0;0;17;0;0;807900;91480;15412;15327;8
9.9001E+11;17;0;17;0;0;7;10;0;0;247208;2684417;410296;143663;13
9.90017E+11;17;0;17;0;7;0;10;0;0;40177;1871653;226605;1407;8
9.9002E+11;17;0;17;0;7;3;7;0;0;61118;979758;132499;1476;8
9.90682E+11;17;0;17;0;0;1;16;0;0;185868;2240859;283416;0;8
9.90789E+11;17;0;17;0;0;3;14;0;0;223196;723793;111949;4769;8
9.91098E+11;17;0;17;0;5;10;2;0;0;3182944;2754219;332151;0;13
9.91394E+11;17;0;17;0;0;12;5;0;0;464393;1878371;279016;80264;13
9.92362E+11;17;0;17;0;1;12;4;0;0;3911444;3096377;373416;0;13
9.92413E+11;17;0;17;0;2;11;4;0;0;1570;438365;56708;0;13
9.92471E+11;17;0;17;0;0;16;1;0;0;1080550;455406;54912;0;13
1.79002E+12;17;0;17;0;0;1;16;0;0;210675;2660884;601804;0;8
1.79025E+12;17;0;17;0;3;6;8;0;0;4246118;2383884;287838;0;13
1.79028E+12;17;0;17;0;12;0;5;0;0;57436;2264915;290948;27563;8
1.79118E+12;17;0;17;0;2;0;15;0;0;727540;502249;73581;34237;8
1.79128E+12;17;0;17;0;3;0;14;0;0;1800367;1822240;273715;177882;8
1.7913E+12;17;0;16;1;1;0;16;0;0;289161;499061;81171;71341;8
1.7914E+12;17;0;17;0;7;7;3;0;0;8385363;3402718;410359;0;13
1.7914E+12;17;0;17;0;5;1;11;0;0;3046;901388;110340;0;8
1.79201E+12;17;0;17;0;0;1;16;0;0;25466;648265;91533;0;8
9.90012E+11;16;1;15;0;8;0;8;0;0;40659;471394;59156;0;8
9.90026E+11;16;0;16;0;0;1;15;0;0;382522;374928;52911;29655;8
9.90299E+11;16;0;16;0;3;3;8;0;2;765244;1373011;166346;0;7
9.90857E+11;16;0;16;0;0;11;5;0;0;171483;858277;104623;2368;13
9.91344E+11;16;0;16;0;3;0;13;0;0;648710;567194;84340;0;8
9.92423E+11;16;0;16;0;3;0;13;0;0;257328;245452;33502;9754;8
1.76816E+12;16;0;16;0;3;13;0;0;0;2866072;19795698;2571366;0;4
1.79002E+12;16;4;12;0;6;3;7;0;0;5765;222152;28653;756;12
1.79055E+12;16;0;16;0;4;0;12;0;0;311909;1206874;148890;0;8
1.79075E+12;16;0;16;0;8;2;6;0;0;833828;971407;130841;9197;8
1.79123E+12;16;0;16;0;8;1;7;0;0;178;63916;8021;0;8
1.79126E+12;16;1;15;0;3;0;13;0;0;34893;669518;88712;60;8
1.79127E+12;16;0;16;0;3;3;10;0;0;45039;965319;124830;1535;8
1.7919E+12;16;0;16;0;8;1;7;0;0;2480;226823;29515;0;8
1.79223E+12;16;0;16;0;0;1;15;0;0;102305;1387324;291489;125;8
1.79246E+12;16;0;16;0;0;0;16;0;0;30395;935456;143190;0;8
1.90005E+11;15;0;15;0;0;11;4;0;0;4654490;3157677;380811;0;13
1.90057E+11;15;0;15;0;8;0;7;0;0;134568;726665;90995;2027;8
1.90167E+11;15;0;15;0;2;2;11;0;0;201396;343770;47093;0;8
9.90004E+11;15;0;15;0;5;2;8;0;0;214347;384812;47866;0;8
9.90009E+11;15;0;15;0;0;7;8;0;0;91805;858515;116803;0;13
9.90015E+11;15;0;15;0;6;0;9;0;0;911882;820088;105044;0;8
9.90345E+11;15;0;15;0;2;4;9;0;0;3758023;1566942;188967;0;8
9.90796E+11;15;0;15;0;0;2;13;0;0;340333;1468710;177142;0;8
9.90968E+11;15;0;15;0;2;1;12;0;0;52209;875875;123241;32983;8
9.91048E+11;15;0;15;0;4;1;10;0;0;80916;483519;68551;8076;8
9.91265E+11;15;0;15;0;2;11;2;0;0;5991990;2093650;252489;0;13
9.92621E+11;15;0;15;0;0;14;1;0;0;404502;1240778;185952;0;13
9.92696E+11;15;0;15;0;0;8;7;0;0;4610;89615;12144;0;13
1.39E+12;15;0;15;0;2;1;12;0;0;888705;1239755;168493;0;8
1.79005E+12;15;0;15;0;1;1;12;0;1;1359;481477;59639;0;7
1.79014E+12;15;0;15;0;1;1;13;0;0;396104;561739;69232;1195;8
1.79041E+12;15;0;15;0;2;1;12;0;0;35312;1178774;151324;5826;8
1.79134E+12;15;0;15;0;8;3;4;0;0;82021;2038939;254496;0;8
1.79136E+12;15;0;15;0;5;2;8;0;0;17953;888182;109908;6775;8
1.79171E+12;15;0;15;0;0;0;15;0;0;294025;3428444;431460;0;8
1.79193E+12;15;0;15;0;2;4;9;0;0;953306;1848258;223390;1798;8
1.79194E+12;15;0;15;0;6;0;9;0;0;83876;396663;48033;0;8
1.79201E+12;15;0;15;0;0;15;0;0;0;293699;1375083;189639;0;13
1.79209E+12;15;0;15;0;2;5;8;0;0;603052;1124049;135871;0;8
1.89001E+12;15;0;15;0;0;15;0;0;0;548973;3250889;534315;0;13
1.90167E+11;14;0;14;0;5;0;9;0;0;192074;580409;87286;900;8
5.90029E+11;14;0;14;0;11;1;2;0;0;105515;368994;45372;0;8
9.90013E+11;14;0;14;0;0;4;10;0;0;134866;1018530;131576;0;8
9.90018E+11;14;0;14;0;2;7;5;0;0;359868;547994;71479;2203;13
9.90032E+11;14;0;14;0;0;3;11;0;0;237456;1100439;149214;13263;8
9.90546E+11;14;0;14;0;0;2;12;0;0;144904;496759;68817;8321;8
9.91367E+11;14;0;14;0;5;2;7;0;0;9936;388732;50280;0;8
9.91399E+11;14;0;14;0;0;0;14;0;0;217593;653559;98524;8155;8
1.79001E+12;14;0;14;0;0;7;7;0;0;187607;534556;66474;153;13
1.79002E+12;14;0;14;0;0;0;14;0;0;169000;467548;56381;0;8
1.79002E+12;14;0;8;6;1;0;13;0;0;1302591;1139923;138035;2361;8
1.79004E+12;14;0;14;0;0;11;3;0;0;134466;777772;105055;14900;13
1.79008E+12;14;0;14;0;0;0;14;0;0;313078;661309;83441;0;8
1.79016E+12;14;0;14;0;5;5;3;1;0;58602;761844;100085;0;7
1.79072E+12;14;0;14;0;0;7;7;0;0;212954;1002112;143113;37772;13
1.79125E+12;14;0;14;0;0;6;8;0;0;9434;344523;46022;0;13
1.7913E+12;14;0;14;0;1;8;5;0;0;7525;171056;25471;4325;13
1.79132E+12;14;0;14;0;0;0;14;0;0;1933327;696242;125242;38850;8
1.7914E+12;14;0;14;0;1;0;13;0;0;546597;418653;61381;33373;8
1.79141E+12;14;0;14;0;3;0;11;0;0;2376;501710;62764;0;8
1.79181E+12;14;0;14;0;0;0;14;0;0;76870;1183152;249735;0;8
1.79202E+12;14;0;14;0;0;9;5;0;0;1246809;1232728;149537;0;13
1.79203E+12;14;0;14;0;2;10;2;0;0;36076;1964451;250152;0;13
1.89009E+12;14;0;14;0;7;4;3;0;0;177840;795724;96888;0;8
5.90031E+11;13;0;13;0;5;5;3;0;0;268203;530595;67214;0;8
9.90179E+11;13;0;13;0;1;3;9;0;0;1051450;1105927;137035;0;8
9.90699E+11;13;0;13;0;3;0;10;0;0;937410;1234045;176729;2746;8
9.91167E+11;13;0;13;0;0;5;8;0;0;170345;866879;123825;5564;13
9.91345E+11;13;0;13;0;5;2;6;0;0;1004590;982119;120063;0;8
1.79004E+12;13;0;13;0;5;6;2;0;0;46128;582251;84893;0;8
1.79005E+12;13;0;13;0;4;7;2;0;0;253631;773668;99154;1027;13
1.79016E+12;13;0;13;0;1;3;9;0;0;1005279;2077308;262226;36577;8
1.79032E+12;13;0;13;0;3;9;1;0;0;222102;571362;73005;2786;13
1.79036E+12;13;0;13;0;0;2;11;0;0;190557;269006;33407;0;8
1.79083E+12;13;0;13;0;0;0;13;0;0;227590;808178;119114;18861;8
1.79122E+12;13;0;12;1;1;0;12;0;0;17423;1428790;180880;0;8
1.79124E+12;13;0;13;0;0;0;13;0;0;20769;732424;94550;0;8
1.79131E+12;13;0;13;0;0;10;3;0;0;165873;378613;45796;0;13
1.79133E+12;13;0;13;0;1;0;12;0;0;1176165;610682;92106;62254;8
1.79187E+12;13;0;13;0;1;1;11;0;0;47950;815855;106601;0;8
1.79191E+12;13;0;13;0;0;1;12;0;0;219924;1446251;215956;56935;8
1.79202E+12;13;0;13;0;0;11;2;0;0;158954;2285355;358821;10312;13
1.79212E+12;13;0;13;0;0;0;13;0;0;2471;903634;112475;0;8
1.79223E+12;13;0;13;0;0;0;13;0;0;254669;621063;85512;15922;8
1.9011E+11;12;0;12;0;0;7;5;0;0;67119;361466;56527;0;13
9.90006E+11;12;0;12;0;0;10;2;0;0;137330;652659;89688;0;13
9.90006E+11;12;0;12;0;5;0;7;0;0;3552;84938;11399;0;8
9.90018E+11;12;0;12;0;8;2;2;0;0;41232;359977;44523;0;8
9.90035E+11;12;0;12;0;0;1;11;0;0;413239;258037;31135;38;8
9.9005E+11;12;0;12;0;0;12;0;0;0;54654;931917;114444;0;13
9.90545E+11;12;0;12;0;0;12;0;0;0;115246;843207;110034;0;13
9.90622E+11;12;0;12;0;1;6;5;0;0;104114;856727;116279;10435;13
